Time,Distance (cm),Status
11/30/2025, 11:49:32 PM,38,Safe
11/30/2025, 11:49:32 PM,38,Safe
11/30/2025, 11:49:31 PM,33,Safe
11/30/2025, 11:49:31 PM,33,Safe
11/30/2025, 11:49:31 PM,22,Warning
11/30/2025, 11:49:31 PM,22,Warning
11/30/2025, 11:49:30 PM,28,Safe
11/30/2025, 11:49:30 PM,28,Safe
11/30/2025, 11:49:30 PM,47,Safe
11/30/2025, 11:49:30 PM,47,Safe
11/30/2025, 11:49:29 PM,24,Warning
11/30/2025, 11:49:29 PM,24,Warning
11/30/2025, 11:49:29 PM,44,Safe
11/30/2025, 11:49:29 PM,44,Safe
11/30/2025, 11:49:28 PM,29,Safe
11/30/2025, 11:49:28 PM,29,Safe
11/30/2025, 11:49:28 PM,25,Safe
11/30/2025, 11:49:28 PM,25,Safe
11/30/2025, 11:49:27 PM,29,Safe
11/30/2025, 11:49:27 PM,29,Safe
11/30/2025, 11:49:27 PM,36,Safe
11/30/2025, 11:49:27 PM,36,Safe
11/30/2025, 11:49:26 PM,23,Warning
11/30/2025, 11:49:26 PM,23,Warning
11/30/2025, 11:49:26 PM,31,Safe
11/30/2025, 11:49:26 PM,31,Safe
11/30/2025, 11:49:25 PM,47,Safe
11/30/2025, 11:49:25 PM,47,Safe
11/30/2025, 11:49:25 PM,50,Safe
11/30/2025, 11:49:25 PM,50,Safe
11/30/2025, 11:49:24 PM,21,Severe
11/30/2025, 11:49:24 PM,21,Severe
11/30/2025, 11:49:23 PM,22,Warning
11/30/2025, 11:49:23 PM,22,Warning
11/30/2025, 11:49:23 PM,27,Safe
11/30/2025, 11:49:23 PM,27,Safe
11/30/2025, 11:49:23 PM,41,Safe
11/30/2025, 11:49:23 PM,41,Safe
11/30/2025, 11:49:22 PM,24,Warning
11/30/2025, 11:49:22 PM,24,Warning
11/30/2025, 11:49:21 PM,21,Severe
11/30/2025, 11:49:21 PM,21,Severe
11/30/2025, 11:49:21 PM,38,Safe
11/30/2025, 11:49:21 PM,38,Safe
11/30/2025, 11:49:20 PM,27,Safe
11/30/2025, 11:49:20 PM,27,Safe
11/30/2025, 11:49:20 PM,36,Safe
11/30/2025, 11:49:20 PM,36,Safe
11/30/2025, 11:49:19 PM,35,Safe
11/30/2025, 11:49:19 PM,35,Safe
11/30/2025, 11:49:19 PM,23,Warning
11/30/2025, 11:49:19 PM,23,Warning
11/30/2025, 11:49:18 PM,21,Severe
11/30/2025, 11:49:18 PM,21,Severe
11/30/2025, 11:49:18 PM,24,Warning
11/30/2025, 11:49:18 PM,24,Warning
11/30/2025, 11:49:17 PM,21,Severe
11/30/2025, 11:49:17 PM,21,Severe
11/30/2025, 11:49:17 PM,22,Warning
11/30/2025, 11:49:17 PM,22,Warning
11/30/2025, 11:49:16 PM,37,Safe
11/30/2025, 11:49:16 PM,37,Safe
11/30/2025, 11:49:16 PM,23,Warning
11/30/2025, 11:49:16 PM,23,Warning
11/30/2025, 11:49:15 PM,23,Warning
11/30/2025, 11:49:15 PM,23,Warning
11/30/2025, 11:49:14 PM,21,Severe
11/30/2025, 11:49:14 PM,21,Severe
11/30/2025, 11:49:14 PM,40,Safe
11/30/2025, 11:49:14 PM,40,Safe
11/30/2025, 11:49:13 PM,43,Safe
11/30/2025, 11:49:13 PM,43,Safe
11/30/2025, 11:49:13 PM,27,Safe
11/30/2025, 11:49:13 PM,27,Safe
11/30/2025, 11:49:12 PM,33,Safe
11/30/2025, 11:49:12 PM,33,Safe
11/30/2025, 11:49:12 PM,32,Safe
11/30/2025, 11:49:12 PM,32,Safe
11/30/2025, 11:49:11 PM,23,Warning
11/30/2025, 11:49:11 PM,23,Warning
11/30/2025, 11:49:11 PM,46,Safe
11/30/2025, 11:49:11 PM,46,Safe
11/30/2025, 11:49:10 PM,39,Safe
11/30/2025, 11:49:10 PM,39,Safe
11/30/2025, 11:49:10 PM,25,Safe
11/30/2025, 11:49:10 PM,25,Safe
11/30/2025, 11:49:09 PM,43,Safe
11/30/2025, 11:49:09 PM,43,Safe
11/30/2025, 11:49:09 PM,48,Safe
11/30/2025, 11:49:09 PM,48,Safe
11/30/2025, 11:49:08 PM,21,Severe
11/30/2025, 11:49:08 PM,21,Severe
11/30/2025, 11:49:08 PM,33,Safe
11/30/2025, 11:49:08 PM,33,Safe
11/30/2025, 11:49:07 PM,29,Safe
11/30/2025, 11:49:07 PM,29,Safe
11/30/2025, 11:49:06 PM,31,Safe
11/30/2025, 11:49:06 PM,31,Safe
11/30/2025, 11:49:06 PM,21,Severe
11/30/2025, 11:49:06 PM,21,Severe